Date,Portfolio Value,Rebalance,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2024-10-31,170502.12,True,"IWDA.L, IEMA.L, MCHI, INDA, XLF, XLI, ITB, XLV, XLP, XLU, XLK, CIBR, VNQ, GLD, SLV, IEF, TIP",17,0.004,normal,"rebalance: DBA peso=0.0409 fuera de [0.0000, 0.0200]"
2024-11-29,174258.63,True,"IWDA.L, IEMA.L, MCHI, INDA, XLF, XLI, ITB, XLV, XLP, XLU, XLK, CIBR, VNQ, GLD, SLV, DBA, IEF, TIP, BITO",19,0.0063,normal,"rebalance: BITO peso=0.0000 fuera de [0.0081, 0.0481]"
2024-12-31,167913.82,True,"IWDA.L, IUSN.DE, XLF, XLI, ITB, XLP, XLU, XLK, CIBR, BOTZ, LIT, VNQ, GLD, SLV, TLT, BITO",16,0.0157,normal,"rebalance: BITO peso=0.0276 fuera de [0.0368, 0.0768]"
2025-01-31,174266.79,True,"IWDA.L, EWJ, IUSN.DE, IEMA.L, MCHI, INDA, XLF, XLE, XLI, XLP, XLU, XLK, CIBR, VNQ, GLD, DBA, IEF, TIP, BITO",19,0.0095,normal,"rebalance: BITO peso=0.0591 fuera de [0.0772, 0.1172]"
2025-02-28,170313.77,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, MCHI, XLF, XLI, XLV, XLU, CIBR, BOTZ, GLD, SLV, DBA, TIP, BITO",17,0.0199,normal,"rebalance: BITO peso=0.0821 fuera de [0.0828, 0.1228]"
2025-03-31,167333.06,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, MCHI, XLF, XLE, XLI, XLV, XLP, XLU, XLK, CIBR, LIT, VNQ, GLD, DBA, IEF, TIP, BITO",21,0.0059,normal,"rebalance: BITO peso=0.1018 fuera de [0.0384, 0.0784]"
2025-04-30,168579.96,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, MCHI, XLF, XLE, XLI, XLV, XLP, XLU, XLK, CIBR, VNQ, GLD, SLV, DBA, IEF, TIP, BITO",21,0.1514,caution,"rebalance: CIBR peso=0.0616 fuera de [0.0196, 0.0596]"
2025-05-30,172174.76,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, EWZ, INDA, XLF, XLV, XLP, CIBR, GLD, SLV, DBA, IEF, TIP, BITO",17,0.0254,normal,"rebalance: BITO peso=0.0922 fuera de [0.1205, 0.1605]"
2025-06-30,175699.52,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, INDA, XLF, XLI, XLP, XLU, XLK, CIBR, GLD, DBA, IEF, TIP, BITO",17,0.005,normal,"rebalance: BITO peso=0.1409 fuera de [0.0350, 0.0750]"
2025-07-31,174988.29,True,"IWDA.L, VGK, IEMA.L, MCHI, EWZ, INDA, XLF, XLI, XLP, XLK, SOXX, CIBR, GLD, IEF, TIP, BITO",16,0.0094,normal,"rebalance: BITO peso=0.0597 fuera de [0.0062, 0.0462]"
2025-08-29,178862.52,True,"IWDA.L, VGK, IEMA.L, MCHI, XLI, XLP, XLU, XLK, SOXX, GLD, SLV, IEF, TIP, BITO",14,0.0136,normal,"rebalance: CIBR peso=0.0716 fuera de [0.0000, 0.0200]"
2025-09-30,187220.67,True,"IWDA.L, VGK, EWJ, IEMA.L, EWZ, XLF, XLI, ITB, XLP, XLU, XLK, SOXX, GLD, DBA, IEF, TIP, BITO",17,0.0024,normal,"rebalance: DBA peso=0.0000 fuera de [0.0407, 0.0807]"
2025-10-31,191695.75,True,"IWDA.L, VGK, IEMA.L, MCHI, XLI, ITB, XLP, XLU, XLK, SOXX, BOTZ, LIT, VNQ, GLD, SLV, IEF, BITO",17,0.0981,normal,"rebalance: BOTZ peso=0.0000 fuera de [0.0084, 0.0484]"
2025-11-28,190361.2,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, XLI, XLU, XLK, SOXX, BOTZ, LIT, GLD, SLV, TLT, IEF, TIP",16,0.0148,normal,"rebalance: BITO peso=0.0217 fuera de [0.0000, 0.0200]"
2025-12-30,193063.18,True,"IWDA.L, EWJ, IUSN.DE, IEMA.L, MCHI, EWZ, INDA, XLE, ITB, XLV, XLU, XLK, SOXX, BOTZ, LIT, GLD, TLT, IEF, TIP",19,0.0086,normal,"rebalance: BOTZ peso=0.0354 fuera de [0.0000, 0.0311]"
